hcat3_code,hcat3_name,ec_code,ec_name,hrl_code,hrl_name
3304990000,other_mushrooms_energy_crops_genetically_modified_crops,,,3100,Unclassified arable crop
3305000000,greenhouse_foil_film,,,3200,Unclassified permanent crop
3306000000,tree_wood_forest,300.0,Woodland and shrubland type of vegetation,3200,Unclassified permanent crop
3306010000,afforestation_reforestation,300.0,Woodland and shrubland type of vegetation,3200,Unclassified permanent crop
3306020000,aspen,300.0,Woodland and shrubland type of vegetation,3200,Unclassified permanent crop
3306030000,birch,300.0,Woodland and shrubland type of vegetation,3200,Unclassified permanent crop
3306040000,dogwood_cornus,300.0,Woodland and shrubland type of vegetation,3200,Unclassified permanent crop
3306050000,eucalyptus,300.0,Woodland and shrubland type of vegetation,3200,Unclassified permanent crop
3306060000,oak,300.0,Woodland and shrubland type of vegetation,3200,Unclassified permanent crop
3306070000,populus,300.0,Woodland and shrubland type of vegetation,3200,Unclassified permanent crop
3306080000,willows_osiers,300.0,Woodland and shrubland type of vegetation,3200,Unclassified permanent crop
3306980000,unspecified_tree_wood_forest,300.0,Woodland and shrubland type of vegetation,3200,Unclassified permanent crop
3306990000,other_tree_wood_forest,300.0,Woodland and shrubland type of vegetation,3200,Unclassified permanent crop
3307000000,peat_turf,,,3200,Unclassified permanent crop
3308000000,unmaintained,,,3100,Unclassified arable crop
3399000000,not_known_and_other,,,3100,Unclassified arable crop
