Italian_Name;English_Name;HCAT2_Name;HCAT2_Code;Direct_Match;Reason
PRATI ARIDI - FORMAZIONI ERBOSE CON ORCHIDEE;Dry grasslands with orchids;pasture_meadow_grassland_grass;3302000000;no;
PESCO;Peach;peach;3303011100;yes;Direct exact match
PERO;Pear;pears;3303011200;no;Partial match found in HCAT2 names
PECAN;Pecan;pecan;3303030300;yes;Direct exact match
PEONIA;Peony;peony_peonies;3301083400;no;Partial match found in HCAT2 names
GIUGGIOLO;Jujube;permanent_crops_perennial;3303000000;no;
FACELIA;Phacelia;phacelia;3301061400;yes;Direct exact match
PISTACCHIO;Pistachio;pistachio;3303030400;yes;Direct exact match
ERBAIO;Green fodder;plants_harvested_green;3301090000;no;
PRUGNOLO;Blackthorn;plums;3303011300;no;
SUSINO;Plum;plums;3303011300;no;Partial match found in HCAT2 names
PRUGNE;Plums;plums;3303011300;yes;Direct exact match
AGROSTIDE GIGANTEA E BIANCA;Giant and white bentgrass;poaceae_grasses;3301090200;no;
MOLINIETI - MOLINIA CAERULEA;Purple moor grass;poaceae_grasses;3301090200;no;
MELOGRANO;Pomegranate;pomegranate;3303011400;yes;Direct exact match
ESCOLZIA;California poppy (Eschscholzia);poppy;3301060600;no;Partial match found in HCAT2 names
PAPAVERO;Poppy;poppy;3301060600;yes;Direct exact match
YACON (patata yacon o carota dolce);Yacon;potatoes;3301030000;no;
PATATA;Potato;potatoes;3301030000;no;Partial match found in HCAT2 names
ZUCCA LAGENARIA;Bottle gourd;pumpkin_squash_gourd;3301140400;no;
ZUCCA;Pumpkin;pumpkin_squash_gourd;3301140400;no;Partial match found in HCAT2 names
PORTULACA O PORCELLANA COMUNE;Purslane;purslane;3301240000;yes;Direct exact match
COTOGNO;Quince;quinces;3303011500;no;Partial match found in HCAT2 names
CHENOPODIUM QUINOA;Quinoa;quinoa;3301150300;yes;Direct exact match
RAVANELLO;Radish;radish;3301290600;yes;Direct exact match
RAVIZZONE;Turnip rape;rapeseed_rape;3301060400;no;
COLZA;Rapeseed;rapeseed_rape;3301060400;no;Partial match found in HCAT2 names
LAMPONE;Raspberry;raspberry_raspberries;3303021000;no;Partial match found in HCAT2 names
RIBES ROSSO;Redcurrant;redcurrant;3303021100;yes;Direct exact match
RABARBARO;Rhubarb;rhubarb;3301230000;yes;Direct exact match
LIQUIRIZIA;Liquorice;rice;3301010700;no;Partial match found in HCAT2 names
RISONE;Rice;rice;3301010700;yes;Direct exact match
RUCOLA;Rocket (arugula);rocket_arugula;3301310600;no;
ZENZERO;Ginger;root_vegetables;3301290000;no;
ROSA;Rose;rosemary;3301061230;no;Partial match found in HCAT2 names
ROSMARINO;Rosemary;rosemary;3301061230;yes;Direct exact match
SORBO;Rowan;rowan_rowanberries;3303021300;no;Partial match found in HCAT2 names
ROBBIA DEI TINTORI;Madder (Rubia tinctorum);rubia_tinctorum_common_madder;3301061231;yes;
MARRUBIO O ROBBIO;Horehound or madder;rubia_tinctorum_common_madder;3301061231;yes;Partial match found in HCAT2 names
LOIETTO;Ryegrass;rye;3301010300;no;Partial match found in HCAT2 names
SEGALA;Rye;rye;3301010300;yes;Direct exact match
LOIETTO (SP. LOLIUM X BOUCHEANUM KUNT.);Hybrid ryegrass;rye;3301010300;no;Partial match found in HCAT2 names
LOIETTO LOGLIO;Ryegrass;rye;3301010300;no;Partial match found in HCAT2 names
CARTAMO;Safflower;safflower;3301083900;yes;Direct exact match
ZAFFERANO;Saffron;saffron_crocus_sativus;3301061232;no;Partial match found in HCAT2 names
SALVIA;Sage;sage_chia;3301190000;no;Partial match found in HCAT2 names
MIZUNA O BRASSICA RAPA;Mizuna;salads_lettuce_leaf_vegetables;3301310000;no;
LATTUGA LATTUGHINO;Lettuce;salads_lettuce_leaf_vegetables;3301310000;no;Partial match found in HCAT2 names
SCORZONERA;Black salsify (Scorzonera);salsify;3301084000;no;Partial match found in HCAT2 names
CIPOLLA ANCHE DI TIPO LUNGO (ECHALION);Onion (including shallot type);shallot;3301220600;no;Partial match found in HCAT2 names
SCALOGNO;Shallot;shallot;3301220600;yes;Direct exact match
PITTOSPORO;Pittosporum;shrubberries_shrubs;3303080000;no;
ORTENSIA;Hydrangea;shrubberries_shrubs;3303080000;no;
GINESTRA;Broom;shrubberries_shrubs;3303080000;no;
MALVA;Mallow;sida_virginia_mallow;3304030000;no;Partial match found in HCAT2 names
BOCCA DI LEONE;Snapdragon;snapdragons;3301084500;no;Partial match found in HCAT2 names
PRATO IN ROTOLO (TAPPETO ERBOSO);Turf (sod);sod_turf;3301090207;yes;
ROMICE O LAPAZIO;Dock (Rumex);sorrel;3301310700;no;
SOIA;Soybean;soy_soybeans;3301160000;no;Partial match found in HCAT2 names
SPELTA;Spelt;spelt;3301011000;yes;Direct exact match
BABY LEAF;Baby leaf;spinach;3301310800;no;
SPINACIO;Spinach;spinach;3301310800;yes;Direct exact match
IPERICO;St. John’s wort;st_johns_wort;3301061234;yes;
ENULA;Elecampane (Inula);sunflower;3301060500;no;
GIRASOLE;Sunflower;sunflower;3301060500;yes;Direct exact match
NAVONI RUTABAGA;Rutabaga;swede_rutabaga;3301210500;no;Partial match found in HCAT2 names
CASTAGNO;Chestnut;sweet_chestnuts;3303030500;no;Partial match found in HCAT2 names
LUPINO;Lupin;sweet_lupins;3301020700;no;Partial match found in HCAT2 names
TAGETE O GAROFANO INDIANO;Tagetes (African marigold);tagetes;3301084700;no;Partial match found in HCAT2 names
TEF o TEFF;Teff;teff;3301010904;yes;Direct exact match
POA ANNUA;Annual bluegrass;temporary_grass;3301090100;no;
TIMO;Thyme;thyme;3301061237;yes;Direct exact match
FLEOLO (CODA DI TOPO) (SP. PHLEUM BERTOLINI (DC));Timothy grass (Phleum);timothy;3301090209;no;Partial match found in HCAT2 names
TABACCO;Tobacco;tobacco;3301060100;yes;Direct exact match
POMODORO;Tomato;tomato;3301280000;yes;Direct exact match
POMODORINO;Cherry tomato;tomato;3301280000;no;Partial match found in HCAT2 names
AVENA ALTISSIMA;Tall oat;tree_wood_forest;3306000000;no;
ASSENZIO;Wormwood (Absinthe);tree_wood_forest;3306000000;no;Matched as tree wood forest based on keywords
ACACIA SALIGNA;Acacia saligna;tree_wood_forest;3306000000;no;Matched as tree wood forest based on keywords
ONTANO;Alder;tree_wood_forest;3306000000;no;Matched as tree wood forest based on keywords
ARALIA;Aralia;tree_wood_forest;3306000000;;
ARBORICOLTURA;Arboriculture;tree_wood_forest;3306000000;no;
FRASSINO;Ash tree;tree_wood_forest;3306000000;no;Matched as tree wood forest based on keywords
PIOPPO NERO;Black poplar;tree_wood_forest;3306000000;no;Matched as tree wood forest based on keywords
CARPINO;Hornbeam;tree_wood_forest;3306000000;no;
VIVAI FORESTALI COMMERCIALI COMPRESI ALBERI DI NATALE...;Commercial forest nurseries (including Christmas trees);tree_wood_forest;3306000000;no;Matched as tree wood forest based on keywords
PINO DOMESTICO;Stone pine;tree_wood_forest;3306000000;no;Matched as tree wood forest based on keywords
OLMO;Elm;tree_wood_forest;3306000000;no;
EVODIA O EUODIA O ALBERO DELLE API O ALBERO DEL MIELE;Bee tree (Evodia);tree_wood_forest;3306000000;no;Matched as tree wood forest based on keywords
GRUPPI DI ALBERI E BOSCHETTI;Groups of trees and groves;tree_wood_forest;3306000000;no;Matched as tree wood forest based on keywords
SIEPI E FASCE ALBERATE;Hedges and tree strips;tree_wood_forest;3306000000;no;Matched as tree wood forest based on keywords
ALBERI ISOLATI;Isolated trees;tree_wood_forest;3306000000;no;Matched as tree wood forest based on keywords
LENTISCO o LENTISCHIO;Mastic tree (Pistacia lentiscus);tree_wood_forest;3306000000;no;Matched as tree wood forest based on keywords
PINO MARITTIMO;Maritime pine;tree_wood_forest;3306000000;no;Matched as tree wood forest based on keywords
MORINGA OLEIFERA o ALBERO DEL RAVANELLO;Moringa (drumstick tree);tree_wood_forest;3306000000;no;Matched as tree wood forest based on keywords
ONTANO NAPOLETANO;Neapolitan alder;tree_wood_forest;3306000000;no;Matched as tree wood forest based on keywords
VIVAI DI ALBERI E ARBUSTI PER GIARDINI...;Nurseries of trees and shrubs for gardens/parks;tree_wood_forest;3306000000;no;Matched as tree wood forest based on keywords
PAULOWNIA TOMENTOSA;Empress tree (Paulownia);tree_wood_forest;3306000000;no;Matched as tree wood forest based on keywords
COLTIVAZIONI ARBOREE PERMANENTI...;Permanent tree crops (with restrictions);tree_wood_forest;3306000000;no;Matched as tree wood forest based on keywords
PLATANO;Plane tree;tree_wood_forest;3306000000;no;Matched as tree wood forest based on keywords
POA (SP. POA NEMORALIS L.);Wood bluegrass (Poa nemoralis);tree_wood_forest;3306000000;no;Matched as tree wood forest based on keywords
PIOPPO;Poplar;tree_wood_forest;3306000000;no;Matched as tree wood forest based on keywords
COLTIVAZIONI ARBOREE PROMISCUE (PIU' SPECIE ARBOREE);Mixed tree crops;tree_wood_forest;3306000000;no;Matched as tree wood forest based on keywords
REGINA DELLE ALPI;Alpine aster;tree_wood_forest;3306000000;no;Matched as tree wood forest based on keywords
COLTIVAZIONI ARBOREE SPECIALIZZATE;Specialized tree crops;tree_wood_forest;3306000000;no;Matched as tree wood forest based on keywords
PASCOLO ARBORATO - CESPUGLIATO TARA 20%;Wooded pasture (20% tare);tree_wood_forest;3306000000;no;Matched as tree wood forest based on keywords
PASCOLO ARBORATO - TARA 50%;Wooded pasture (50% tare);tree_wood_forest;3306000000;no;Matched as tree wood forest based on keywords
ALBERI IN FILARE;Trees in rows;tree_wood_forest;3306000000;no;Matched as tree wood forest based on keywords
PIOPPO BIANCO;White poplar;tree_wood_forest;3306000000;no;Matched as tree wood forest based on keywords
BOSCO;Woodland;tree_wood_forest;3306000000;no;Matched as tree wood forest based on keywords
TRITICALE;Triticale;triticale;3301010800;yes;Direct exact match
LATYRUS spp (TARTUFO DI PRATO);Meadow truffle (Lathyrus spp);truffle;3304040000;no;Partial match found in HCAT2 names
TARTUFO;Truffle;truffle;3304040000;yes;Direct exact match
VALERIANA;Valerian;valerian;3301061238;yes;Direct exact match
BROCCOLETTO DI RAPA;Turnip greens (rapini);vegetables;3301200000;no;
PATATA AMERICANA (BATATA);Sweet potato;vegetables;3301200000;no;Matched as vegetables based on keywords
FAGIOLINO;Green bean;vegetables;3301200000;no;Matched as vegetables based on keywords
RICINO;Castor bean;vegetables;3301200000;no;Matched as vegetables based on keywords
PEPERONCINO PEPERETTA;Chili pepper;vegetables;3301200000;no;Matched as vegetables based on keywords
CAVOLO CINESE;Chinese cabbage;vegetables;3301200000;no;Matched as vegetables based on keywords
VIGNA CINESE;Chinese yardlong bean;vegetables;3301200000;no;Matched as vegetables based on keywords
CICERCHIA;Grass pea (Lathyrus sativus);vegetables;3301200000;no;Matched as vegetables based on keywords
FAGIOLO DALL'OCCHIO;Black-eyed pea (cowpea);vegetables;3301200000;no;Matched as vegetables based on keywords
